src,dst,messages_sent,messages_received,messages_total,contribution_index
sadi_taskiran,sadi_taskiran,1,1,2,0.0
saifuli_69,saifuli_69,1,1,2,0.0
shibainu0786,shibainu0786,1,1,2,0.0
sohinear,sohinear,1,1,2,0.0
st34lthhunter,st34lthhunter,1,1,2,0.0
starl0rdx,starl0rdx,1,1,2,0.0
stickupvegas,stickupvegas,1,1,2,0.0
vaibhav_sanwal,vaibhav_sanwal,1,1,2,0.0
vanlinh50558353,treenation,1,0,1,1.0
wakako_19,wakako_19,1,1,2,0.0
wakanan19,wakanan19,1,1,2,0.0
willy55904465,willy55904465,1,1,2,0.0
yaasudahlahh,yaasudahlahh,1,1,2,0.0
yoshitaka_0,yoshitaka_0,1,1,2,0.0
z06z07,z06z07,1,1,2,0.0
zamargan,zamargan,1,1,2,0.0
zavieramikhayla,zavieramikhayla,1,1,2,0.0
0xchirho,0xchirho,1,1,2,0.0
0xderberker,0xderberker,1,1,2,0.0
777daiwa,777daiwa,2,2,4,0.0
abrarab77906954,abrarab77906954,1,1,2,0.0
adam86138343,adam86138343,1,1,2,0.0
afc_tj_dw,afc_tj_dw,1,1,2,0.0
alik661,alik661,1,1,2,0.0
amiguitosclub,estherakamz,2,1,3,0.33
apespaced,apespaced,1,1,2,0.0
chakladersafiya,chakladersafiya,1,1,2,0.0
cosmonyperyt,cosmonyperyt,1,1,2,0.0
cryptolongese,cryptolongese,1,1,2,0.0
defipeasant,defipeasant,1,1,2,0.0
grafixed_btc,grafixed_btc,1,1,2,0.0
gulfmewf,gulfmewf,1,1,2,0.0
hamzabingoll,hamzabingoll,1,1,2,0.0
hanbinie06,hanbinie06,1,1,2,0.0
hechi_btc,hechi_btc,4,4,8,0.0
hilyyyz,hilyyyz,1,1,2,0.0
i_am_bigwin,i_am_bigwin,1,1,2,0.0
ibrahim82203455,ibrahim82203455,1,1,2,0.0
intermilan4950,intermilan4950,1,1,2,0.0
invasionmsia,invasionmsia,2,2,4,0.0
johndoe_2112,johndoe_2112,1,1,2,0.0
kdfemi,kdfemi,1,1,2,0.0
khangsta_,khangsta_,1,1,2,0.0
kk62648609,kk62648609,1,1,2,0.0
lalitpa05761721,lalitpa05761721,1,1,2,0.0
lanamies,lanamies,1,1,2,0.0
maurici90170090,maurici90170090,1,1,2,0.0
mdbturan,mdbturan,9,9,18,0.0
mehmetsalih3008,mehmetsalih3008,1,1,2,0.0
moauleaves23,moauleaves23,1,1,2,0.0
mr_sokrates_,mr_sokrates_,1,1,2,0.0
mrsnowy10,mrsnowy10,3,3,6,0.0
muhamme27395704,muhamme27395704,1,1,2,0.0
nanami773chr,nanami773chr,1,1,2,0.0
nikedaisu,nikedaisu,1,1,2,0.0
notorious_vb,notorious_vb,2,2,4,0.0
originalbitbull,originalbitbull,1,1,2,0.0
orwellngoode,orwellngoode,1,1,2,0.0
pp04g,pp04g,2,2,4,0.0
realtor_coin,realtor_coin,1,1,2,0.0
shitamysays_,shelleyk73,1,0,1,1.0
some1far,some1far,1,1,2,0.0
soybeans99,soybeans99,1,1,2,0.0
squeakilyjr,squeakilyjr,1,1,2,0.0
srberva,srberva,1,1,2,0.0
surr3aldystopia,surr3aldystopia,2,2,4,0.0
tanmitanmi048,tanmitanmi048,1,1,2,0.0
taqi557290,taqi557290,1,1,2,0.0
th020924,th020924,1,1,2,0.0
thibaud54,thibaud54,1,1,2,0.0
tigerblack75,tigerblack75,2,2,4,0.0
topolskidavid,topolskidavid,2,2,4,0.0
tradingjob1,tradingjob1,3,3,6,0.0
uygunsuzcocuk,coindelisi,1,0,1,1.0
zynllai2en8vpyz,zynllai2en8vpyz,1,1,2,0.0
2yx0bqx6ppnxojx,2yx0bqx6ppnxojx,1,1,2,0.0
3scollection,3scollection,1,1,2,0.0
8cxjioriwxj7tao,8cxjioriwxj7tao,1,1,2,0.0
abdiyasha,abdiyasha,1,1,2,0.0
aeilenee,aeilenee,1,1,2,0.0
afak95469399,afak95469399,1,1,2,0.0
alpineyaaa,alpineyaaa,1,1,2,0.0
alpugantanyeli,alpugantanyeli,1,1,2,0.0
