dst,src,src_followers_count,src_friends_count,created_at,src_favourites_count,twitter_query,src_screen_name,dst_screen_name,hashtags,dst_name,time,src_id_str,text,src_listed_count,dst_id_str,src_name,src_statuses_count,time_
bitcoingerardo,bitcoingerardo,6,19,Sun Nov 28 21:45:00 +0000 2021,588,BTC,Bitcoingerardo,Bitcoingerardo,"Bitcoin, BitcoinBonds",Gerardo Almaraz,1638135900,1453728143441752070,"RT @Excellion: If #Bitcoin stays in this range longer, El Salvador will be able to stack more $BTC into their #BitcoinBonds. That means the…",0,,Gerardo Almaraz,20,['1638057600-1638144000']
caovanchi445,caovanchi445,169,408,Mon Dec 20 08:19:46 +0000 2021,284,BTC,CaoVanChi445,CaoVanChi445,"ITMYNFT, IMN, ITMYNFT, IMN, Crypto, cryptotrading, BSC",Cao Van Chi,1639988386,1423668008057143302,RT @IT_MYNFT: #ITMYNFT #IMN Pre Sale IS LIVE NOW! 🔥🔥👉Buy IMN Now https://t.co/YcHoOn1AeB#ITMYNFT #IMN #Crypto #cryptotrading #BSC #Ether…,0,,Cao Van Chi,683,['1639958400-1640044800']
casitrades,casitrades,30,66,Sun Dec 05 13:27:23 +0000 2021,96,BTC,CasiTrades,CasiTrades,,CasiTrades (and I can teach you!),1638710843,1465420797313437699,@maximeXRP I'm expecting it to at least reach the .382 retrace at .875. Probably once BTC get's its next push. BTC… https://t.co/ZH6Om06qhB,0,,CasiTrades (and I can teach you!),59,['1638662400-1638748800']
cedcosta10,cedcosta10,10016,10349,Sun Nov 07 19:16:58 +0000 2021,27030,BTC,cedcosta10,cedcosta10,"Bitcoin, oPortal, Ethereum, crosschain, GameFi, NFT, DeFi",cedcosta,1636312618,1183101618616557569,$BORING #Bitcoin #oPortal #Ethereum #crosschain #GameFi #NFT #DeFi $BTC https://t.co/vrf17JSKLU,2,,cedcosta,28343,['1636243200-1636329600']
charlne_btc,charlne_btc,5,149,Mon Dec 20 08:29:37 +0000 2021,261,BTC,Charlne_BTC,Charlne_BTC,,Charlène P,1639988977,1458405386860519424,RT @getwhalinvest: La gagnant du jour 14 n’as pas claim ses credits. Ils sont donc remis en jeu ! 🤗👉🏻 RT + Follow⏱TAS 20/12 à 16h https…,0,,Charlène P,219,['1639958400-1640044800']
corycachola,corycachola,834,1655,Tue Dec 21 00:11:39 +0000 2021,9261,ETH2,corycachola,corycachola,,"corrales (3,3)",1640045499,14790512,@dektonNFT it’s coming as soon as eth2 gets here 🤣,34,,"corrales (3,3)",8947,['1640044800-1640131200']
crypto_pocketz,crypto_pocketz,403,1582,Sun Dec 05 13:49:22 +0000 2021,1323,BTC,Crypto_Pocketz,Crypto_Pocketz,"Bitcoin, BADGERdao",Pocket_Full_Of_Hodlonaut[₿🔑 ∎],1638712162,953021668032696320,"#Bitcoin  - The recent drop is a combination of tax sellers , exchanges , shorts, and the #BADGERdao thief's dump… https://t.co/agw8I8Egpl",2,,Pocket_Full_Of_Hodlonaut[₿🔑 ∎],1532,['1638662400-1638748800']
cryptolife_01,cryptolife_01,313,279,Mon Dec 20 08:23:00 +0000 2021,1206,BTC,Cryptolife_01,Cryptolife_01,BTC,Crypto Life,1639988580,479348444,@ProfesorTurkmen Yanıldık Allah affetsin #BTC,1,,Crypto Life,2905,['1639958400-1640044800']
cryptomarine1,cryptomarine1,7,111,Sun Dec 12 08:08:26 +0000 2021,117,BTC,CryptoMarine1,CryptoMarine1,,Crypto_Marine,1639296506,1380654714069549056,RT @LilMoonLambo: wen $BTC 100k? https://t.co/4eBcM28nUw,2,,Crypto_Marine,95,['1639267200-1639353600']
d43061632,d43061632,472,294,Mon Dec 20 08:22:51 +0000 2021,20515,BTC,D43061632,D43061632,,鬱病堕天使,1639988571,1293033216849268738,RT @Akito_BTC: 🎁 🚀ゲリラ企画 やります🚀🎁🎃５万円を１０名の方にプレゼント🎃💸現金もしくは🪙XRP、BTC(５万円分)(リップル、ビットコイン)✅応募方法１.@Akito_BTC をフォロー２.このツイートをＲＴ🔥抽選は19時半に…,13,,鬱病堕天使,29048,['1639958400-1640044800']
dddd34656996,dddd34656996,3,66,Mon Dec 20 08:51:53 +0000 2021,228,BTC,DDDD34656996,DDDD34656996,,DD DD,1639990313,1456909789343232001,@DoctorEximius @wallstreetpro If usdt goes bust.uSd is gon to be much more needed than btc eth and… https://t.co/Iw5LXt92kI,0,,DD DD,148,['1639958400-1640044800']
enjoy201990,enjoy201990,28,828,Sun Dec 26 10:24:13 +0000 2021,927,BTC,EnJoy201990,EnJoy201990,,Chupacabra,1640514253,962423829707575296,RT @kingfisher_btc: $BTC Future liquidations 🎣👀 https://t.co/0UKeFrnTAz,0,,Chupacabra,415,['1640476800-1640563200']
babylionnft,fat32_eth,767,1274,Sun Dec 26 11:07:04 +0000 2021,1949,ETH,FAT32_eth,BabyLionNFT,"DucksUnited, QUACK",Original Jaw.eth,1640516824,1393488109141168128,@bellbrand @BabyLionNFT @BabyLionsClub @noncoducks 🦁 🦆 #DucksUnited #QUACK https://t.co/omDEk6ZjBf,6,329538621,FAT32.eth,446,['1640476800-1640563200']
frk1997,frk1997,35,251,Sun Dec 05 13:37:23 +0000 2021,1537,BTC,frk1997,frk1997,,FURKAN KURT,1638711443,531411438,RT @kriptoefendisi_: 🔥ÇEKİLİŞ YAPIYORUM 🔥toplam 4500TL daha hediye edeceğim💵Yapmanız Gereken-Beni Takip Et✅-Tweeti RT Yap ve Beğen ✅…,0,,FURKAN KURT,97,['1638662400-1638748800']
harsh88931276,harsh88931276,59,211,Sun Oct 31 11:32:01 +0000 2021,2237,BTC,Harsh88931276,Harsh88931276,BTC,Harsh,1635679921,1373892137830412291,RT @MMCrypto: If you bought #BTC below $100‘000 you are early!,1,,Harsh,2580,['1635638400-1635724800']
hitomi81362928,hitomi81362928,191,607,Sun Oct 31 12:45:35 +0000 2021,13461,BTC,hitomi81362928,hitomi81362928,,hitomi🥰,1635684335,1081712874983022593,RT @papayapaya_FX: 5日連続プレゼント企画−仮想通貨編−今回の5日間は仮想通貨のプレゼント🎁です【1日目】5万円分の仮想通貨をプレゼントビットコイン（ $BTC ）イーサリアム（ $ETH ）お好きな方を選んで頂けます！参加条件：フォロ…,4,,hitomi🥰,12250,['1635638400-1635724800']
iamcarjlv,iamcarjlv,36,785,Sun Dec 26 11:00:54 +0000 2021,544,BTC,iamcarjlv,iamcarjlv,Bitcoin,carjlv,1640516454,1353109602477498368,RT @OfficialNovixel: Let's giveaway some #Bitcoin the right way!@coinkit_ mon 10 100 $btc,1,,carjlv,2006,['1640476800-1640563200']
imgeakayd,imgeakayd,0,0,Sun Dec 05 13:15:43 +0000 2021,0,BTC,ImgeAkayd,ImgeAkayd,"crypto, tothemoon, eventuscoin, eve, btc, moon, money, eth, cryptocurrency, blockchain, bitcoin",İmge Akaydın,1638710143,1466329605191704578,RT @eventuscoin: Buy the dip guys. #crypto #tothemoon #eventuscoin #eve #btc #moon #money #eth #cryptocurrency #blockchain #bitcoin #tradin…,0,,İmge Akaydın,16,['1638662400-1638748800']
