Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2020-01-19,2020-01-19,0.0024049999192357063,108085147,0,0,-2,2,0.19999999999999996,DOGE
2020-01-20,2020-01-20,0.0023739999160170555,92022277,0,0,-2,2,0.19999999999999996,DOGE
2020-01-21,2020-01-21,0.0023759999312460423,84321565,0,0,2,2,1.0,DOGE
2020-01-22,2020-01-22,0.002322999993339181,82852580,0,0,-2,2,0.19999999999999996,DOGE
2020-01-23,2020-01-23,0.002268000040203333,91866620,0,0,-2,2,0.19999999999999996,DOGE
2020-01-24,2020-01-24,0.00227600010111928,86865882,0,0,2,2,1.0,DOGE
2020-01-25,2020-01-25,0.002256999956443906,82421399,0,0,-2,2,0.19999999999999996,DOGE
2020-01-26,2020-01-26,0.002305000089108944,73458474,0,0,2,2,1.0,DOGE
2020-01-27,2020-01-27,0.002368000103160739,89023414,0,0,2,2,1.0,DOGE
2020-01-28,2020-01-28,0.0024500000290572643,91528771,0,0,2,2,1.0,DOGE
2020-01-29,2020-01-29,0.0023900000378489494,80676219,0,0,-2,2,0.19999999999999996,DOGE
2020-01-30,2020-01-30,0.0024399999529123306,83967914,0,0,2,2,1.0,DOGE
2020-01-31,2020-01-31,0.002394000068306923,76519295,0,0,-2,2,0.19999999999999996,DOGE
2020-02-01,2020-02-01,0.0024220000486820936,78730830,0,0,2,2,1.0,DOGE
2020-02-02,2020-02-02,0.0024679999332875013,91552515,0,0,2,2,1.0,DOGE
2020-02-03,2020-02-03,0.0024399999529123306,78856631,0,0,-2,2,0.19999999999999996,DOGE
2020-02-04,2020-02-04,0.0025029999669641256,89790002,0,0,2,2,1.0,DOGE
2020-02-05,2020-02-05,0.0025820001028478146,105741619,0,-2,2,2,0.4,DOGE
2020-02-06,2020-02-06,0.002652999944984913,108711614,0,-2,2,2,0.4,DOGE
2020-02-07,2020-02-07,0.002768999896943569,130273878,2,-2,2,2,0.8,DOGE
2020-02-08,2020-02-08,0.0031590000726282597,203803814,2,-2,2,2,0.8,DOGE
2020-02-09,2020-02-09,0.0032319999299943447,218861527,2,-2,2,2,0.8,DOGE
2020-02-10,2020-02-10,0.002985999919474125,195582003,0,0,-2,2,0.19999999999999996,DOGE
2020-02-11,2020-02-11,0.0030410001054406166,169747135,0,0,2,2,1.0,DOGE
2020-02-12,2020-02-12,0.0030930000357329845,181406960,0,0,2,2,1.0,DOGE
2020-02-13,2020-02-13,0.003025999991223216,168543942,0,0,-2,2,0.19999999999999996,DOGE
2020-02-14,2020-02-14,0.0031300000846385956,140849233,0,0,2,2,1.0,DOGE
2020-02-15,2020-02-15,0.0029200001154094934,144726029,0,0,-2,2,0.19999999999999996,DOGE
2020-02-16,2020-02-16,0.002773999935016036,149831933,0,0,-2,2,0.19999999999999996,DOGE
2020-02-17,2020-02-17,0.0027119999285787344,149622002,0,0,-2,2,0.19999999999999996,DOGE
2020-02-18,2020-02-18,0.0028389999642968178,144188844,0,0,2,2,1.0,DOGE
2020-02-19,2020-02-19,0.002623999956995249,136889052,0,0,-2,2,0.19999999999999996,DOGE
2020-02-20,2020-02-20,0.002658999990671873,187866681,0,0,2,2,1.0,DOGE
2020-02-21,2020-02-21,0.002647999906912446,157652567,0,0,-2,2,0.19999999999999996,DOGE
2020-02-22,2020-02-22,0.002601000014692545,156145895,0,0,-2,2,0.19999999999999996,DOGE
2020-02-23,2020-02-23,0.00267999991774559,180747902,0,0,2,2,1.0,DOGE
2020-02-24,2020-02-24,0.002589999930933118,159143744,0,0,-2,2,0.19999999999999996,DOGE
2020-02-25,2020-02-25,0.0024759999942034483,178541404,0,0,-2,2,0.19999999999999996,DOGE
2020-02-26,2020-02-26,0.002339000115171075,201370789,0,0,-2,2,0.19999999999999996,DOGE
2020-02-27,2020-02-27,0.0023240000009536743,162813946,0,0,-2,2,0.19999999999999996,DOGE
2020-02-28,2020-02-28,0.00228899996727705,153544453,-2,0,-2,2,-0.20000000000000007,DOGE
2020-02-29,2020-02-29,0.0022350000217556953,146635830,0,0,-2,2,0.19999999999999996,DOGE
2020-03-01,2020-03-01,0.0022750000935047865,162437207,0,0,2,2,1.0,DOGE
2020-03-02,2020-03-02,0.002348999958485365,165788612,0,0,2,2,1.0,DOGE
2020-03-03,2020-03-03,0.002498999936506152,174988479,0,0,2,2,1.0,DOGE
2020-03-04,2020-03-04,0.0023980000987648964,144601436,0,0,-2,2,0.19999999999999996,DOGE
2020-03-05,2020-03-05,0.0025059999898076057,104912777,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-06,2020-03-06,0.002495999913662672,100268192,0,0,-2,-2,-1.0,DOGE
2020-03-07,2020-03-07,0.0024049999192357063,88138038,0,0,-2,-2,-1.0,DOGE
2020-03-08,2020-03-08,0.0021869998890906572,101738284,0,0,-2,-2,-1.0,DOGE
2020-03-09,2020-03-09,0.0022140000946819782,137033008,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-10,2020-03-10,0.0022070000413805246,115431584,0,0,-2,-2,-1.0,DOGE
2020-03-11,2020-03-11,0.0021840000990778208,107425626,0,0,-2,-2,-1.0,DOGE
2020-03-12,2020-03-12,0.0015369999455288053,167892774,0,2,-2,-2,-0.4,DOGE
