dst,src,messages_sent,messages_received,messages_total,contribution_index,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
rodvalenciag,rodvalenciag,1,1,2,0.0,0.2770532965660095,0.10816974937915802,6.003253936767578,2021-12-21 00:00:00,2021-12-22 00:00:00
satishjadon9,satishjadon9,1,1,2,0.0,0.026017017662525177,0.400035560131073,8.569849014282227,2021-12-21 00:00:00,2021-12-22 00:00:00
ssssiren,ssssiren,1,1,2,0.0,0.10191242396831512,0.24136048555374146,5.592019081115723,2021-12-21 00:00:00,2021-12-22 00:00:00
takah1582,takah1582,1,1,2,0.0,0.9503459930419922,0.2807772159576416,6.421463489532471,2021-12-21 00:00:00,2021-12-22 00:00:00
tom80820503,tom80820503,1,1,2,0.0,0.153422012925148,0.35481008887290955,6.524679183959961,2021-12-21 00:00:00,2021-12-22 00:00:00
ukramedia,ukramedia,1,1,2,0.0,0.6985317468643188,0.13230597972869873,4.994535446166992,2021-12-21 00:00:00,2021-12-22 00:00:00
applesupport,applesupport,1,1,2,0.0,0.9999443292617798,0.4057103991508484,6.5860276222229,2021-12-21 00:00:00,2021-12-22 00:00:00
i_love_saas,i_love_saas,2,2,4,0.0,0.8605121970176697,0.20137417316436768,5.25314474105835,2021-12-21 00:00:00,2021-12-22 00:00:00
oxnar_sex,oxnar_sex,1,1,2,0.0,0.9999505281448364,0.4491840600967407,6.324225425720215,2021-12-21 00:00:00,2021-12-22 00:00:00
scifiroom,scifiroom,1,1,2,0.0,0.4792056381702423,0.2359948456287384,5.275708198547363,2021-12-21 00:00:00,2021-12-22 00:00:00
tyler_273,tyler_273,1,1,2,0.0,0.17457959055900574,0.20901495218276978,4.438107967376709,2021-12-21 00:00:00,2021-12-22 00:00:00
bbcneandcumbria,bullyred,1,0,1,1.0,0.0009024543687701225,0.42213839292526245,6.360177040100098,2021-12-21 00:00:00,2021-12-22 00:00:00
coley96xo,coley96xo,2,2,4,0.0,0.7259675860404968,0.1573783978819847,6.352879524230957,2021-12-21 00:00:00,2021-12-22 00:00:00
iphshqip,iphshqip,1,1,2,0.0,0.9929583072662354,0.2880534827709198,6.067019462585449,2021-12-21 00:00:00,2021-12-22 00:00:00
jyurgealitis,jyurgealitis,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
tarachan3261,tarachan3261,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
juliahb1,thegoodstatsman,1,0,1,1.0,0.23532626032829285,0.14185753464698792,4.626497745513916,2021-12-21 00:00:00,2021-12-22 00:00:00
turtieboii,turtieboii,1,1,2,0.0,0.2741371691226959,0.3343929052352905,5.387816905975342,2021-12-21 00:00:00,2021-12-22 00:00:00
shesmygembaby,_thelovelylexc,1,0,1,1.0,0.6837167143821716,0.15114426612854004,4.652082443237305,2021-12-21 00:00:00,2021-12-22 00:00:00
bigdawgsnft,bigdawgsnft,1,1,2,0.0,0.018219048157334328,0.3494684398174286,5.463574409484863,2021-12-21 00:00:00,2021-12-22 00:00:00
guerra_barbi,guerra_barbi,4,4,8,0.0,0.47598795033991337,0.23933959752321243,8.609352588653564,2021-12-21 00:00:00,2021-12-22 00:00:00
lorenzobva,lorenzobva,1,1,2,0.0,0.9284479022026062,0.28168195486068726,9.449464797973633,2021-12-21 00:00:00,2021-12-22 00:00:00
wario64,rrob,1,0,1,1.0,0.6868287920951843,0.17574404180049896,4.776230812072754,2021-12-21 00:00:00,2021-12-22 00:00:00
tijitgraweyti,tijitgraweyti,1,1,2,0.0,0.02572733163833618,0.3573678433895111,6.279256820678711,2021-12-21 00:00:00,2021-12-22 00:00:00
vbsaeed,vbsaeed,1,1,2,0.0,0.7103846073150635,0.15962882339954376,5.34644079208374,2021-12-21 00:00:00,2021-12-22 00:00:00
vs_evil,vs_evil,1,1,2,0.0,0.5502304434776306,0.09121175110340118,4.936591625213623,2021-12-21 00:00:00,2021-12-22 00:00:00
butchandriley,andybassett9,1,0,1,1.0,0.600744903087616,0.2660195231437683,6.0177321434021,2021-12-21 00:00:00,2021-12-22 00:00:00
bishoy_x,bishoy_x,1,1,2,0.0,0.7606359720230103,0.21524256467819214,4.472991943359375,2021-12-21 00:00:00,2021-12-22 00:00:00
cedarcrab77,cedarcrab77,1,1,2,0.0,0.21451972424983978,0.2621608376502991,5.830112457275391,2021-12-21 00:00:00,2021-12-22 00:00:00
engrmiggy,flowergirl7891,1,0,1,1.0,0.18901054561138153,0.3558761477470398,6.784182071685791,2021-12-21 00:00:00,2021-12-22 00:00:00
mahir38765153,mahir38765153,1,1,2,0.0,0.696569561958313,0.22000561654567719,4.67354154586792,2021-12-21 00:00:00,2021-12-22 00:00:00
nariluvsu,nariluvsu,4,4,8,0.0,0.8513502925634384,0.20863572135567665,5.80161440372467,2021-12-21 00:00:00,2021-12-22 00:00:00
noon13217799,noon13217799,1,1,2,0.0,0.6233786344528198,0.22275157272815704,5.252023696899414,2021-12-21 00:00:00,2021-12-22 00:00:00
akaratz1,akaratz1,1,1,2,0.0,0.9789502620697021,0.34290605783462524,5.714883804321289,2021-12-21 00:00:00,2021-12-22 00:00:00
arjen529,arjen529,1,1,2,0.0,0.33418890833854675,0.2335086166858673,9.954957962036133,2021-12-21 00:00:00,2021-12-22 00:00:00
beysicc,beysicc,1,1,2,0.0,0.14866095781326294,0.33625486493110657,5.357623100280762,2021-12-21 00:00:00,2021-12-22 00:00:00
caeseria_nsfw,caeseria_nsfw,1,1,2,0.0,0.9973868131637573,0.3429839611053467,5.229712009429932,2021-12-21 00:00:00,2021-12-22 00:00:00
liamrobers1,j3llyju1ce,0,1,1,-1.0,,,,2021-12-21 00:00:00,2021-12-22 00:00:00
junkinjacksllc,junkinjacksllc,1,1,2,0.0,0.5964469909667969,0.24428267776966095,5.366125583648682,2021-12-21 00:00:00,2021-12-22 00:00:00
luistor24356599,luistor24356599,1,1,2,0.0,0.8262290954589844,0.19615504145622253,5.500126361846924,2021-12-21 00:00:00,2021-12-22 00:00:00
sarayaya0210,sarayaya0210,2,2,4,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
anahatasol,anahatasol,2,2,4,0.0,0.9572492837905884,0.291013240814209,6.644934177398682,2021-12-21 00:00:00,2021-12-22 00:00:00
doujin_cg,doujin_cg,1,1,2,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568,2021-12-21 00:00:00,2021-12-22 00:00:00
ronnilodge2,ronnilodge2,2,2,4,0.0,0.42949090152978897,0.25033626705408096,5.9969751834869385,2021-12-21 00:00:00,2021-12-22 00:00:00
uae_atin,uae_atin,3,3,6,0.0,0.6132562210162481,0.2622857093811035,5.022107283274333,2021-12-21 00:00:00,2021-12-22 00:00:00
lacrimecod,7barty,1,0,1,1.0,0.7471939325332642,0.267217218875885,6.406795024871826,2021-12-21 00:00:00,2021-12-22 00:00:00
