id,friends_count,favourites_count,name,followers_count,listed_count,twitter_query,statuses_count,original_dataset,cluster
noticiashouston,0,0,Noticias45Houston,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pavniraghvanshi,0,0,पहाड़न 💙,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
piotr_ibin_alab,0,0,تسامح🏳️‍🌈🇪🇺🇵🇱🇮🇱,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ampareto1,0,0,ampareto,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
chinaecheremig,0,0,💙𝕋𝕙𝕖 ℙ𝕚𝕕𝕘𝕚𝕟 𝔹𝕠𝕪🇳🇬💙,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
dumativa,0,0,Dumativa,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
eaintlevents,0,0,Engin Akyürek International Events,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
itxxmarina,463,668,Marina🌸,874,5,SOL,43580,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
maurici90476807,0,0,0war,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mendo0tario,0,0,Mendo 🇮🇹,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mooketsibtekere,0,0,MooketsiBTekere,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pagourou,0,0,Παγουρού,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
sensualteam2,0,0,Pareja Sensual Team🔞,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
