date,src,dst,cluster_src,mes_sent,mes_received,mes_total,contr_index,sentiment_avg,emoti_avg,compl_avg,neighbours,cluster_dst,cluster_equal,neighbours_!cluster,neighbours_cluster
2021-11-14,maudepangallo,[twitter_query=sol],C7,2,2,4,0.0,0.9562397599220276,0.3676192164421081,4.964749813079834,8,C7,True,1,7
2021-10-31,serkanarac1,cryptonetanaliz,C2,1,0,1,1.0,,,,1,C2,True,0,1
2021-11-07,sey_to_me,shibaarchives,C7,1,0,1,1.0,0.5839555859565735,0.1679112017154693,5.131820201873779,10,C7,True,0,10
2021-12-21,[twitter_query=sol],0lad3l3,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-11-14,felippe08_real,solapefinance,C7,1,0,1,1.0,0.6456560492515564,0.148896038532257,6.264550685882568,20,C7,True,0,20
2021-11-28,35es03,kriptozenciii,C7,2,0,2,1.0,0.9160753786563872,0.3114182949066162,9.977835178375244,3,C7,True,0,3
2021-12-26,shibainuhgl,allones_e,C7,0,2,2,-1.0,,,,7,C7,True,0,7
2021-11-07,[twitter_query=sol],apexthetoken,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-12-05,harapei2,ol20225358,C2,1,1,2,0.0,,,,12,C2,True,6,6
2021-11-29,jurgenignoto,cobraverde5,C5,0,1,1,-1.0,,,,1,C5,True,0,1
2021-12-12,fc1a2a,shaneparry77,C7,1,0,1,1.0,0.4275408089160919,0.2104769498109817,6.820444583892822,6,C7,True,0,6
2021-12-21,listen_hear,niprisons,C0,1,0,1,1.0,0.9117838740348816,0.2550203204154968,5.443982124328613,1,C0,True,0,1
2021-11-29,pustorinogina,palmira73992004,C7,3,0,3,1.0,,,,102,C7,True,1,101
2021-12-26,tracy_qjn,stephan50837816,C5,0,1,1,-1.0,,,,12,C5,True,0,12
2021-10-31,acesarieg0,rewardsbunny,C7,1,0,1,1.0,0.970673441886902,0.319932073354721,5.692192077636719,1,C7,True,0,1
2021-12-05,caspar_500,[twitter_query=sol],C7,3,3,6,0.0,0.9208731253941854,0.2504098564386368,5.140531063079834,6,C7,True,0,6
2021-12-05,avp86frfr,lyu_johnny,C7,1,0,1,1.0,0.8168792128562927,0.1690750420093536,5.571028709411621,6,C7,True,2,4
2021-11-29,mmgl22,[twitter_query=sol],C7,1,1,2,0.0,0.5484160780906677,0.1536854654550552,5.011148452758789,6,C7,True,0,6
2021-12-20,nftnewsnow,coin_post,C2,1,0,1,1.0,,,,1,C2,True,0,1
2021-12-05,rocketbotpro,adeelra52527024,C7,0,3,3,-1.0,,,,109,C7,True,3,106
2021-11-07,dotiryaki,x_wisky,C2,0,1,1,-1.0,,,,3,C2,True,0,3
2021-11-29,momsquotes_,mohas91,C9,0,1,1,-1.0,,,,4,C9,True,2,2
2021-11-13,chainflowpos,michaelh_laine,C7,1,0,1,1.0,0.839955747127533,0.2791648507118225,8.481781005859375,7,C7,True,1,6
2021-11-07,hana_kur0,ddl_vid1,C2,0,1,1,-1.0,,,,1,C2,True,0,1
2021-12-05,shimonzgate,zenryoku_eth,C2,0,1,1,-1.0,,,,5,C2,True,2,3
2021-12-26,eros4_eros,ovoix1,C0,1,0,1,1.0,0.5472694039344788,0.1686060279607772,8.067203521728516,30,C0,True,12,18
2021-12-12,argelisvaldez7,abelmartnez501,C3,1,0,1,1.0,0.6649802327156067,0.2686659693717956,9.466344833374023,2,C3,True,0,2
